[ 2019-09-01T12:23:59+08:00 ] /abcTest/admin.php/CountConsume/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2019-09-01T12:23:59+08:00 ] /abcTest/admin.php/CountConsume/index | INFO: Tag[ app_begin ] --START--
[ 2019-09-01T12:23:59+08:00 ] /abcTest/admin.php/CountConsume/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003184s ]
[ 2019-09-01T12:23:59+08:00 ] /abcTest/admin.php/CountConsume/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003611s ]
[ 2019-09-01T12:23:59+08:00 ] /abcTest/admin.php/CountConsume/index | INFO: Tag[ view_template ] --START--
[ 2019-09-01T12:23:59+08:00 ] /abcTest/admin.php/CountConsume/index | INFO: Run LocationTemplate Behavior [ RunTime:0.003059s ]
[ 2019-09-01T12:23:59+08:00 ] /abcTest/admin.php/CountConsume/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.003546s ]
[ 2019-09-01T12:23:59+08:00 ] /abcTest/admin.php/CountConsume/index | INFO: Tag[ view_parse ] --START--
[ 2019-09-01T12:23:59+08:00 ] /abcTest/admin.php/CountConsume/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2019-09-01T12:23:59+08:00 ] /abcTest/admin.php/CountConsume/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-09-01T12:23:59+08:00 ] /abcTest/admin.php/CountConsume/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
