[ 2019-08-21T10:57:40+08:00 ] /abcTest/admin.php/ManageRight/index | INFO: Tag[ route_check ] --START--
[ 2019-08-21T10:57:40+08:00 ] /abcTest/admin.php/ManageRight/index | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2019-08-21T10:57:40+08:00 ] /abcTest/admin.php/ManageRight/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2019-08-21T10:57:40+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2019-08-21T10:57:40+08:00 ] /abcTest/admin.php/ManageRight/index | INFO: Tag[ app_begin ] --START--
[ 2019-08-21T10:57:40+08:00 ] /abcTest/admin.php/ManageRight/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2019-08-21T10:57:40+08:00 ] /abcTest/admin.php/ManageRight/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2019-08-21T10:57:40+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8] Use of undefined constant Coach - assumed 'Coach' ManageRightAction.class.php 第 4 行.
[ 2019-08-21T10:57:40+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2019-08-21T10:57:40+08:00 ] /abcTest/admin.php/ManageRight/index | SQL: SHOW COLUMNS FROM `t_coach` [ RunTime:0.001000s ]
[ 2019-08-21T10:57:40+08:00 ] /abcTest/admin.php/ManageRight/index | SQL: select * from t_coach [ RunTime:0.001000s ]
[ 2019-08-21T10:57:40+08:00 ] /abcTest/admin.php/ManageRight/index | INFO: Tag[ view_template ] --START--
[ 2019-08-21T10:57:40+08:00 ] /abcTest/admin.php/ManageRight/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2019-08-21T10:57:40+08:00 ] /abcTest/admin.php/ManageRight/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2019-08-21T10:57:40+08:00 ] /abcTest/admin.php/ManageRight/index | INFO: Tag[ view_parse ] --START--
[ 2019-08-21T10:57:40+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2019-08-21T10:57:40+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-21T10:57:40+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2019-08-21T10:57:40+08:00 ] /abcTest/admin.php/ManageRight/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
